AAL,1,18.6
AAL,2,17.6
AAL,3,18
AAL,4,17.9
ASQ,1,16.8
ASQ,2,13.9
ASQ,3,14.1
ASQ,4,14.3
DAL,1,21.1
DAL,2,18.9
DAL,3,19.6
DAL,4,18.7
EGF,1,17
EGF,2,16.5
EGF,3,15.5
EGF,4,14
JBU,1,16
JBU,2,16.3
JBU,3,17
JBU,4,15.5
UAL,1,16.5
UAL,2,16.4
UAL,3,16.1
UAL,4,15.5
USA,1,19.6
USA,2,18.9
USA,3,20.2
USA,4,17.8
ZZZ,0,17.7
